index-entry-number,entry-number,entry-timestamp,key,"statistical-geography-non-metropolitan-district-eng",local-authority-eng,name,start-date,end-date
243,243,2017-12-04T13:24:08Z,E07000233,E07000233,,"West Wiltshire",2009-01-01,2009-03-31
242,242,2017-12-04T13:24:08Z,E07000232,E07000232,,Salisbury,2009-01-01,2009-03-31
241,241,2017-12-04T13:24:08Z,E07000231,E07000231,,"North Wiltshire",2009-01-01,2009-03-31
240,240,2017-12-04T13:24:08Z,E07000230,E07000230,,Kennet,2009-01-01,2009-03-31
239,239,2017-12-04T13:24:08Z,E07000186,E07000186,,"South Shropshire",2009-01-01,2009-03-31
238,238,2017-12-04T13:24:08Z,E07000185,E07000185,,"Shrewsbury and Atcham",2009-01-01,2009-03-31
237,237,2017-12-04T13:24:08Z,E07000184,E07000184,,Oswestry,2009-01-01,2009-03-31
236,236,2017-12-04T13:24:08Z,E07000183,E07000183,,"North Shropshire",2009-01-01,2009-03-31
235,235,2017-12-04T13:24:08Z,E07000182,E07000182,,Bridgnorth,2009-01-01,2009-03-31
234,234,2017-12-04T13:24:08Z,E07000162,E07000162,,Wansbeck,2009-01-01,2009-03-31
233,233,2017-12-04T13:24:08Z,E07000161,E07000161,,Tynedale,2009-01-01,2009-03-31
232,232,2017-12-04T13:24:08Z,E07000160,E07000160,,"Castle Morpeth",2009-01-01,2009-03-31
231,231,2017-12-04T13:24:08Z,E07000159,E07000159,,"Blyth Valley",2009-01-01,2009-03-31
230,230,2017-12-04T13:24:08Z,E07000158,E07000158,,Berwick-upon-Tweed,2009-01-01,2009-03-31
229,229,2017-12-04T13:24:08Z,E07000157,E07000157,,Alnwick,2009-01-01,2009-03-31
228,228,2017-12-04T13:24:08Z,E07000138,E07000138,LIC,,2009-01-01,
227,227,2017-12-04T13:24:08Z,E07000060,E07000060,,"Wear Valley",2009-01-01,2009-03-31
226,226,2017-12-04T13:24:08Z,E07000059,E07000059,,Teesdale,2009-01-01,2009-03-31
225,225,2017-12-04T13:24:08Z,E07000058,E07000058,,Sedgefield,2009-01-01,2009-03-31
224,224,2017-12-04T13:24:08Z,E07000057,E07000057,,Easington,2009-01-01,2009-03-31
223,223,2017-12-04T13:24:08Z,E07000056,E07000056,,Durham,2009-01-01,2009-03-31
222,222,2017-12-04T13:24:08Z,E07000055,E07000055,,Derwentside,2009-01-01,2009-03-31
221,221,2017-12-04T13:24:08Z,E07000054,E07000054,,Chester-le-Street,2009-01-01,2009-03-31
220,220,2017-12-04T13:24:08Z,E07000024,E07000024,,Restormel,2009-01-01,2009-03-31
219,219,2017-12-04T13:24:08Z,E07000023,E07000023,,Penwith,2009-01-01,2009-03-31
218,218,2017-12-04T13:24:08Z,E07000022,E07000022,,"North Cornwall",2009-01-01,2009-03-31
217,217,2017-12-04T13:24:08Z,E07000021,E07000021,,Kerrier,2009-01-01,2009-03-31
216,216,2017-12-04T13:24:08Z,E07000020,E07000020,,Carrick,2009-01-01,2009-03-31
215,215,2017-12-04T13:24:08Z,E07000019,E07000019,,Caradon,2009-01-01,2009-03-31
214,214,2017-12-04T13:24:08Z,E07000018,E07000018,,"Vale Royal",2009-01-01,2009-03-31
213,213,2017-12-04T13:24:08Z,E07000017,E07000017,,Macclesfield,2009-01-01,2009-03-31
212,212,2017-12-04T13:24:08Z,E07000016,E07000016,,"Ellesmere Port & Neston",2009-01-01,2009-03-31
211,211,2017-12-04T13:24:08Z,E07000015,E07000015,,"Crewe and Nantwich",2009-01-01,2009-03-31
210,210,2017-12-04T13:24:08Z,E07000014,E07000014,,Congleton,2009-01-01,2009-03-31
209,209,2017-12-04T13:24:08Z,E07000013,E07000013,,Chester,2009-01-01,2009-03-31
208,208,2017-12-04T13:24:08Z,E07000003,E07000003,,"South Bedfordshire",2009-01-01,2009-03-31
207,207,2017-12-04T13:24:08Z,E07000001,E07000001,,"Mid Bedfordshire",2009-01-01,2009-03-31
206,206,2017-12-04T13:24:08Z,E07000002,E07000002,BDF,,2009-01-01,2009-03-31
205,205,2017-12-04T13:24:08Z,E07000025,E07000025,IOS,,2009-01-01,2009-03-31
204,204,2017-12-04T13:24:08Z,E07000004,E07000004,AYL,,2009-01-01,
203,203,2017-12-04T13:24:08Z,E07000005,E07000005,CHN,,2009-01-01,
202,202,2017-12-04T13:24:08Z,E07000006,E07000006,SBU,,2009-01-01,
201,201,2017-12-04T13:24:08Z,E07000007,E07000007,WYO,,2009-01-01,
200,200,2017-12-04T13:24:08Z,E07000008,E07000008,CAB,,2009-01-01,
199,199,2017-12-04T13:24:08Z,E07000009,E07000009,ECA,,2009-01-01,
198,198,2017-12-04T13:24:08Z,E07000010,E07000010,FEN,,2009-01-01,
197,197,2017-12-04T13:24:08Z,E07000011,E07000011,HUN,,2009-01-01,
196,196,2017-12-04T13:24:08Z,E07000012,E07000012,SCA,,2009-01-01,
195,195,2017-12-04T13:24:08Z,E07000026,E07000026,ALL,,2009-01-01,
194,194,2017-12-04T13:24:08Z,E07000027,E07000027,BAR,,2009-01-01,
193,193,2017-12-04T13:24:08Z,E07000028,E07000028,CAR,,2009-01-01,
192,192,2017-12-04T13:24:08Z,E07000029,E07000029,COP,,2009-01-01,
191,191,2017-12-04T13:24:08Z,E07000030,E07000030,EDN,,2009-01-01,
190,190,2017-12-04T13:24:08Z,E07000031,E07000031,SLA,,2009-01-01,
189,189,2017-12-04T13:24:08Z,E07000032,E07000032,AMB,,2009-01-01,
188,188,2017-12-04T13:24:08Z,E07000033,E07000033,BOS,,2009-01-01,
187,187,2017-12-04T13:24:08Z,E07000034,E07000034,CHS,,2009-01-01,
186,186,2017-12-04T13:24:08Z,E07000035,E07000035,DEB,,2009-01-01,
185,185,2017-12-04T13:24:08Z,E07000036,E07000036,ERE,,2009-01-01,
184,184,2017-12-04T13:24:08Z,E07000037,E07000037,HIG,,2009-01-01,
183,183,2017-12-04T13:24:08Z,E07000038,E07000038,NED,,2009-01-01,
182,182,2017-12-04T13:24:08Z,E07000039,E07000039,SDE,,2009-01-01,
181,181,2017-12-04T13:24:08Z,E07000040,E07000040,EDE,,2009-01-01,
180,180,2017-12-04T13:24:08Z,E07000041,E07000041,EXE,,2009-01-01,
179,179,2017-12-04T13:24:08Z,E07000042,E07000042,MDE,,2009-01-01,
178,178,2017-12-04T13:24:08Z,E07000043,E07000043,NDE,,2009-01-01,
177,177,2017-12-04T13:24:08Z,E07000044,E07000044,SHA,,2009-01-01,
176,176,2017-12-04T13:24:08Z,E07000045,E07000045,TEI,,2009-01-01,
175,175,2017-12-04T13:24:08Z,E07000046,E07000046,TOR,,2009-01-01,
174,174,2017-12-04T13:24:08Z,E07000047,E07000047,WDE,,2009-01-01,
173,173,2017-12-04T13:24:08Z,E07000048,E07000048,CHC,,2009-01-01,
172,172,2017-12-04T13:24:08Z,E07000049,E07000049,EDO,,2009-01-01,
171,171,2017-12-04T13:24:08Z,E07000050,E07000050,NDO,,2009-01-01,
170,170,2017-12-04T13:24:08Z,E07000051,E07000051,PUR,,2009-01-01,
169,169,2017-12-04T13:24:08Z,E07000052,E07000052,WDO,,2009-01-01,
168,168,2017-12-04T13:24:08Z,E07000053,E07000053,WEY,,2009-01-01,
167,167,2017-12-04T13:24:08Z,E07000066,E07000066,BAI,,2009-01-01,
166,166,2017-12-04T13:24:08Z,E07000067,E07000067,BRA,,2009-01-01,
165,165,2017-12-04T13:24:08Z,E07000068,E07000068,BRW,,2009-01-01,
164,164,2017-12-04T13:24:08Z,E07000069,E07000069,CAS,,2009-01-01,
163,163,2017-12-04T13:24:08Z,E07000070,E07000070,CHL,,2009-01-01,
162,162,2017-12-04T13:24:08Z,E07000071,E07000071,COL,,2009-01-01,
161,161,2017-12-04T13:24:08Z,E07000072,E07000072,EPP,,2009-01-01,
160,160,2017-12-04T13:24:08Z,E07000073,E07000073,HAR,,2009-01-01,
159,159,2017-12-04T13:24:08Z,E07000074,E07000074,MAL,,2009-01-01,
158,158,2017-12-04T13:24:08Z,E07000075,E07000075,ROC,,2009-01-01,
157,157,2017-12-04T13:24:08Z,E07000076,E07000076,TEN,,2009-01-01,
156,156,2017-12-04T13:24:08Z,E07000077,E07000077,UTT,,2009-01-01,
155,155,2017-12-04T13:24:08Z,E07000061,E07000061,EAS,,2009-01-01,
154,154,2017-12-04T13:24:08Z,E07000062,E07000062,HAS,,2009-01-01,
153,153,2017-12-04T13:24:08Z,E07000063,E07000063,LEE,,2009-01-01,
152,152,2017-12-04T13:24:08Z,E07000064,E07000064,ROH,,2009-01-01,
151,151,2017-12-04T13:24:08Z,E07000065,E07000065,WEA,,2009-01-01,
150,150,2017-12-04T13:24:08Z,E07000078,E07000078,CHT,,2009-01-01,
149,149,2017-12-04T13:24:08Z,E07000079,E07000079,COT,,2009-01-01,
148,148,2017-12-04T13:24:08Z,E07000080,E07000080,FOE,,2009-01-01,
147,147,2017-12-04T13:24:08Z,E07000081,E07000081,GLO,,2009-01-01,
146,146,2017-12-04T13:24:08Z,E07000082,E07000082,STO,,2009-01-01,
145,145,2017-12-04T13:24:08Z,E07000083,E07000083,TEW,,2009-01-01,
144,144,2017-12-04T13:24:08Z,E07000084,E07000084,BAN,,2009-01-01,
143,143,2017-12-04T13:24:08Z,E07000085,E07000085,EHA,,2009-01-01,
142,142,2017-12-04T13:24:08Z,E07000086,E07000086,EAT,,2009-01-01,
141,141,2017-12-04T13:24:08Z,E07000087,E07000087,FAR,,2009-01-01,
140,140,2017-12-04T13:24:08Z,E07000088,E07000088,GOS,,2009-01-01,
139,139,2017-12-04T13:24:08Z,E07000089,E07000089,HAT,,2009-01-01,
138,138,2017-12-04T13:24:08Z,E07000090,E07000090,HAA,,2009-01-01,
137,137,2017-12-04T13:24:08Z,E07000091,E07000091,NEW,,2009-01-01,
136,136,2017-12-04T13:24:08Z,E07000092,E07000092,RUH,,2009-01-01,
135,135,2017-12-04T13:24:08Z,E07000093,E07000093,TES,,2009-01-01,
134,134,2017-12-04T13:24:08Z,E07000094,E07000094,WIN,,2009-01-01,
133,133,2017-12-04T13:24:08Z,E07000095,E07000095,BRX,,2009-01-01,
132,132,2017-12-04T13:24:08Z,E07000096,E07000096,DAC,,2009-01-01,
131,131,2017-12-04T13:24:08Z,E07000242,E07000242,EHE,,2013-04-01,
130,130,2017-12-04T13:24:08Z,E07000097,E07000097,EHE,,2009-01-01,2013-03-31
129,129,2017-12-04T13:24:08Z,E07000098,E07000098,HER,,2009-01-01,
128,128,2017-12-04T13:24:08Z,E07000099,E07000099,NHE,,2009-01-01,
127,127,2017-12-04T13:24:08Z,E07000240,E07000240,SAL,,2012-04-01,
126,126,2017-12-04T13:24:08Z,E07000100,E07000100,SAL,,2009-01-01,2012-03-31
125,125,2017-12-04T13:24:08Z,E07000243,E07000243,STV,,2013-04-01,
124,124,2017-12-04T13:24:08Z,E07000101,E07000101,STV,,2009-01-01,2013-03-31
123,123,2017-12-04T13:24:08Z,E07000102,E07000102,THE,,2009-01-01,
122,122,2017-12-04T13:24:08Z,E07000103,E07000103,WAT,,2009-01-01,
121,121,2017-12-04T13:24:08Z,E07000241,E07000241,WEW,,2012-04-01,
120,120,2017-12-04T13:24:08Z,E07000104,E07000104,WEW,,2009-01-01,2012-03-31
119,119,2017-12-04T13:24:08Z,E07000105,E07000105,ASF,,2009-01-01,
118,118,2017-12-04T13:24:08Z,E07000106,E07000106,CAT,,2009-01-01,
117,117,2017-12-04T13:24:08Z,E07000107,E07000107,DAR,,2009-01-01,
116,116,2017-12-04T13:24:08Z,E07000108,E07000108,DOV,,2009-01-01,
115,115,2017-12-04T13:24:08Z,E07000109,E07000109,GRA,,2009-01-01,
114,114,2017-12-04T13:24:08Z,E07000110,E07000110,MAI,,2009-01-01,
113,113,2017-12-04T13:24:08Z,E07000111,E07000111,SEV,,2009-01-01,
112,112,2017-12-04T13:24:08Z,E07000112,E07000112,SHE,,2009-01-01,
111,111,2017-12-04T13:24:08Z,E07000113,E07000113,SWL,,2009-01-01,
110,110,2017-12-04T13:24:08Z,E07000114,E07000114,THA,,2009-01-01,
109,109,2017-12-04T13:24:08Z,E07000115,E07000115,TON,,2009-01-01,
108,108,2017-12-04T13:24:08Z,E07000116,E07000116,TUN,,2009-01-01,
107,107,2017-12-04T13:24:08Z,E07000117,E07000117,BUN,,2009-01-01,
106,106,2017-12-04T13:24:08Z,E07000118,E07000118,CHO,,2009-01-01,
105,105,2017-12-04T13:24:08Z,E07000119,E07000119,FYL,,2009-01-01,
104,104,2017-12-04T13:24:08Z,E07000120,E07000120,HYN,,2009-01-01,
103,103,2017-12-04T13:24:08Z,E07000121,E07000121,LAC,,2009-01-01,
102,102,2017-12-04T13:24:08Z,E07000122,E07000122,PEN,,2009-01-01,
101,101,2017-12-04T13:24:08Z,E07000123,E07000123,PRE,,2009-01-01,
100,100,2017-12-04T13:24:08Z,E07000124,E07000124,RIB,,2009-01-01,
99,99,2017-12-04T13:24:08Z,E07000125,E07000125,ROS,,2009-01-01,
98,98,2017-12-04T13:24:08Z,E07000126,E07000126,SRI,,2009-01-01,
97,97,2017-12-04T13:24:08Z,E07000127,E07000127,WLA,,2009-01-01,
96,96,2017-12-04T13:24:08Z,E07000128,E07000128,WYR,,2009-01-01,
95,95,2017-12-04T13:24:08Z,E07000129,E07000129,BLA,,2009-01-01,
94,94,2017-12-04T13:24:08Z,E07000130,E07000130,CHA,,2009-01-01,
93,93,2017-12-04T13:24:08Z,E07000131,E07000131,HAO,,2009-01-01,
92,92,2017-12-04T13:24:08Z,E07000132,E07000132,HIN,,2009-01-01,
91,91,2017-12-04T13:24:08Z,E07000133,E07000133,MEL,,2009-01-01,
90,90,2017-12-04T13:24:08Z,E07000134,E07000134,NWL,,2009-01-01,
89,89,2017-12-04T13:24:08Z,E07000135,E07000135,OAD,,2009-01-01,
88,88,2017-12-04T13:24:08Z,E07000136,E07000136,BOT,,2009-01-01,
87,87,2017-12-04T13:24:08Z,E07000137,E07000137,ELI,,2009-01-01,
86,86,2017-12-04T13:24:08Z,E07000139,E07000139,NKE,,2009-01-01,
85,85,2017-12-04T13:24:08Z,E07000140,E07000140,SHO,,2009-01-01,
84,84,2017-12-04T13:24:08Z,E07000141,E07000141,SKE,,2009-01-01,
83,83,2017-12-04T13:24:08Z,E07000142,E07000142,WLI,,2009-01-01,
82,82,2017-12-04T13:24:08Z,E07000143,E07000143,BRE,,2009-01-01,
81,81,2017-12-04T13:24:08Z,E07000144,E07000144,BRO,,2009-01-01,
80,80,2017-12-04T13:24:08Z,E07000145,E07000145,GRY,,2009-01-01,
79,79,2017-12-04T13:24:08Z,E07000147,E07000147,NNO,,2009-01-01,
78,78,2017-12-04T13:24:08Z,E07000148,E07000148,NOW,,2009-01-01,
77,77,2017-12-04T13:24:08Z,E07000149,E07000149,SNO,,2009-01-01,
76,76,2017-12-04T13:24:08Z,E07000150,E07000150,COR,,2009-01-01,
75,75,2017-12-04T13:24:08Z,E07000151,E07000151,DAV,,2009-01-01,
74,74,2017-12-04T13:24:08Z,E07000152,E07000152,ENO,,2009-01-01,
73,73,2017-12-04T13:24:08Z,E07000153,E07000153,KET,,2009-01-01,
72,72,2017-12-04T13:24:08Z,E07000154,E07000154,NOR,,2009-01-01,
71,71,2017-12-04T13:24:08Z,E07000155,E07000155,SNR,,2009-01-01,
70,70,2017-12-04T13:24:08Z,E07000156,E07000156,WEL,,2009-01-01,
69,69,2017-12-04T13:24:08Z,E07000170,E07000170,ASH,,2009-01-01,
68,68,2017-12-04T13:24:08Z,E07000171,E07000171,BAE,,2009-01-01,
67,67,2017-12-04T13:24:08Z,E07000172,E07000172,BRT,,2009-01-01,
66,66,2017-12-04T13:24:08Z,E07000173,E07000173,GED,,2009-01-01,
65,65,2017-12-04T13:24:08Z,E07000174,E07000174,MAS,,2009-01-01,
64,64,2017-12-04T13:24:08Z,E07000175,E07000175,NEA,,2009-01-01,
63,63,2017-12-04T13:24:08Z,E07000176,E07000176,RUS,,2009-01-01,
62,62,2017-12-04T13:24:08Z,E07000163,E07000163,CRA,,2009-01-01,
61,61,2017-12-04T13:24:08Z,E07000164,E07000164,HAE,,2009-01-01,
60,60,2017-12-04T13:24:08Z,E07000165,E07000165,HAG,,2009-01-01,
59,59,2017-12-04T13:24:08Z,E07000166,E07000166,RIH,,2009-01-01,
58,58,2017-12-04T13:24:08Z,E07000167,E07000167,RYE,,2009-01-01,
57,57,2017-12-04T13:24:08Z,E07000168,E07000168,SCE,,2009-01-01,
56,56,2017-12-04T13:24:08Z,E07000169,E07000169,SEL,,2009-01-01,
55,55,2017-12-04T13:24:08Z,E07000177,E07000177,CHR,,2009-01-01,
54,54,2017-12-04T13:24:08Z,E07000178,E07000178,OXO,,2009-01-01,
53,53,2017-12-04T13:24:08Z,E07000179,E07000179,SOX,,2009-01-01,
52,52,2017-12-04T13:24:08Z,E07000180,E07000180,VAL,,2009-01-01,
51,51,2017-12-04T13:24:08Z,E07000181,E07000181,WOX,,2009-01-01,
50,50,2017-12-04T13:24:08Z,E07000200,E07000200,BAB,,2009-01-01,
49,49,2017-12-04T13:24:08Z,E07000201,E07000201,FOR,,2009-01-01,
48,48,2017-12-04T13:24:08Z,E07000202,E07000202,IPS,,2009-01-01,
47,47,2017-12-04T13:24:08Z,E07000203,E07000203,MSU,,2009-01-01,
46,46,2017-12-04T13:24:08Z,E07000204,E07000204,SED,,2009-01-01,
45,45,2017-12-04T13:24:08Z,E07000205,E07000205,SUF,,2009-01-01,
44,44,2017-12-04T13:24:08Z,E07000206,E07000206,WAV,,2009-01-01,
43,43,2017-12-04T13:24:08Z,E07000187,E07000187,MEN,,2009-01-01,
42,42,2017-12-04T13:24:08Z,E07000188,E07000188,SEG,,2009-01-01,
41,41,2017-12-04T13:24:08Z,E07000189,E07000189,SSO,,2009-01-01,
40,40,2017-12-04T13:24:08Z,E07000190,E07000190,TAU,,2009-01-01,
39,39,2017-12-04T13:24:08Z,E07000191,E07000191,WSO,,2009-01-01,
38,38,2017-12-04T13:24:08Z,E07000207,E07000207,ELM,,2009-01-01,
37,37,2017-12-04T13:24:08Z,E07000208,E07000208,EPS,,2009-01-01,
36,36,2017-12-04T13:24:08Z,E07000209,E07000209,GRT,,2009-01-01,
35,35,2017-12-04T13:24:08Z,E07000210,E07000210,MOL,,2009-01-01,
34,34,2017-12-04T13:24:08Z,E07000211,E07000211,REI,,2009-01-01,
33,33,2017-12-04T13:24:08Z,E07000212,E07000212,RUN,,2009-01-01,
32,32,2017-12-04T13:24:08Z,E07000213,E07000213,SPE,,2009-01-01,
31,31,2017-12-04T13:24:08Z,E07000214,E07000214,SUR,,2009-01-01,
30,30,2017-12-04T13:24:08Z,E07000215,E07000215,TAN,,2009-01-01,
29,29,2017-12-04T13:24:08Z,E07000216,E07000216,WAE,,2009-01-01,
28,28,2017-12-04T13:24:08Z,E07000217,E07000217,WOI,,2009-01-01,
27,27,2017-12-04T13:24:08Z,E07000192,E07000192,CAN,,2009-01-01,
26,26,2017-12-04T13:24:08Z,E07000193,E07000193,EST,,2009-01-01,
25,25,2017-12-04T13:24:08Z,E07000194,E07000194,LIF,,2009-01-01,
24,24,2017-12-04T13:24:08Z,E07000195,E07000195,NEC,,2009-01-01,
23,23,2017-12-04T13:24:08Z,E07000196,E07000196,SST,,2009-01-01,
22,22,2017-12-04T13:24:08Z,E07000197,E07000197,STA,,2009-01-01,
21,21,2017-12-04T13:24:08Z,E07000198,E07000198,STF,,2009-01-01,
20,20,2017-12-04T13:24:08Z,E07000199,E07000199,TAW,,2009-01-01,
19,19,2017-12-04T13:24:08Z,E07000218,E07000218,NWA,,2009-01-01,
18,18,2017-12-04T13:24:08Z,E07000219,E07000219,NUN,,2009-01-01,
17,17,2017-12-04T13:24:08Z,E07000220,E07000220,RUG,,2009-01-01,
16,16,2017-12-04T13:24:08Z,E07000221,E07000221,STR,,2009-01-01,
15,15,2017-12-04T13:24:08Z,E07000222,E07000222,WAW,,2009-01-01,
14,14,2017-12-04T13:24:08Z,E07000234,E07000234,BRM,,2009-01-01,
13,13,2017-12-04T13:24:08Z,E07000235,E07000235,MAV,,2009-01-01,
12,12,2017-12-04T13:24:08Z,E07000236,E07000236,RED,,2009-01-01,
11,11,2017-12-04T13:24:08Z,E07000237,E07000237,WOC,,2009-01-01,
10,10,2017-12-04T13:24:08Z,E07000238,E07000238,WYC,,2009-01-01,
9,9,2017-12-04T13:24:08Z,E07000239,E07000239,WYE,,2009-01-01,
8,8,2017-12-04T13:24:08Z,E07000223,E07000223,ADU,,2009-01-01,
7,7,2017-12-04T13:24:08Z,E07000224,E07000224,ARU,,2009-01-01,
6,6,2017-12-04T13:24:08Z,E07000225,E07000225,CHI,,2009-01-01,
5,5,2017-12-04T13:24:08Z,E07000226,E07000226,CRW,,2009-01-01,
4,4,2017-12-04T13:24:08Z,E07000227,E07000227,HOR,,2009-01-01,
3,3,2017-12-04T13:24:08Z,E07000228,E07000228,MSS,,2009-01-01,
2,2,2017-12-04T13:24:08Z,E07000229,E07000229,WOT,,2009-01-01,
1,1,2017-12-04T13:24:08Z,E07000146,E07000146,KIN,,2009-01-01,
