entity,organisation
1,development-corporation:Q20648596
2,development-corporation:Q4916714
3,development-corporation:Q6670544
4,development-corporation:Q6670837
5,development-corporation:Q72456968
6,development-corporation:Q72463795
7,development-corporation:Q7799380
8,development-corporation:Q7860503
9,development-corporation:Q7986087
10,government-organisation:D303
11,government-organisation:D38
12,government-organisation:D4
13,government-organisation:D69
14,government-organisation:EA39
15,government-organisation:EA87
16,government-organisation:PB1164
17,government-organisation:PB1204
18,government-organisation:PB1218
19,government-organisation:PB1232
20,government-organisation:PB160
21,government-organisation:PB207
22,government-organisation:PB372
23,government-organisation:PB373
24,government-organisation:PB375
25,government-organisation:PC163
26,local-authority-eng:ADU
27,local-authority-eng:ALL
28,local-authority-eng:AMB
29,local-authority-eng:ARU
30,local-authority-eng:ASF
31,local-authority-eng:ASH
32,local-authority-eng:AYL
33,local-authority-eng:BAB
34,local-authority-eng:BAE
35,local-authority-eng:BAI
36,local-authority-eng:BAN
37,local-authority-eng:BAR
38,local-authority-eng:BAS
39,local-authority-eng:BBD
40,local-authority-eng:BDF
41,local-authority-eng:BDG
42,local-authority-eng:BEN
43,local-authority-eng:BEX
44,local-authority-eng:BIR
45,local-authority-eng:BKM
46,local-authority-eng:BLA
47,local-authority-eng:BMH
48,local-authority-eng:BNE
49,local-authority-eng:BNH
50,local-authority-eng:BNS
51,local-authority-eng:BOL
52,local-authority-eng:BOS
53,local-authority-eng:BOT
54,local-authority-eng:BPC
55,local-authority-eng:BPL
56,local-authority-eng:BRA
57,local-authority-eng:BRC
58,local-authority-eng:BRD
59,local-authority-eng:BRE
60,local-authority-eng:BRM
61,local-authority-eng:BRO
62,local-authority-eng:BRT
63,local-authority-eng:BRW
64,local-authority-eng:BRX
65,local-authority-eng:BRY
66,local-authority-eng:BST
67,local-authority-eng:BUC
68,local-authority-eng:BUN
69,local-authority-eng:BUR
70,local-authority-eng:CAB
71,local-authority-eng:CAM
72,local-authority-eng:CAN
73,local-authority-eng:CAR
74,local-authority-eng:CAS
75,local-authority-eng:CAT
76,local-authority-eng:CBF
77,local-authority-eng:CHA
78,local-authority-eng:CHC
79,local-authority-eng:CHE
80,local-authority-eng:CHI
81,local-authority-eng:CHL
82,local-authority-eng:CHN
83,local-authority-eng:CHO
84,local-authority-eng:CHR
85,local-authority-eng:CHS
86,local-authority-eng:CHT
87,local-authority-eng:CHW
88,local-authority-eng:CLD
89,local-authority-eng:CMA
90,local-authority-eng:CMD
91,local-authority-eng:COL
92,local-authority-eng:CON
93,local-authority-eng:COP
94,local-authority-eng:COR
95,local-authority-eng:COT
96,local-authority-eng:COV
97,local-authority-eng:CPCA
98,local-authority-eng:CRA
99,local-authority-eng:CRW
100,local-authority-eng:CRY
101,local-authority-eng:DAC
102,local-authority-eng:DAL
103,local-authority-eng:DAR
104,local-authority-eng:DAV
105,local-authority-eng:DBY
106,local-authority-eng:DEB
107,local-authority-eng:DER
108,local-authority-eng:DEV
109,local-authority-eng:DNC
110,local-authority-eng:DOR
111,local-authority-eng:DOV
112,local-authority-eng:DST
113,local-authority-eng:DUD
114,local-authority-eng:DUR
115,local-authority-eng:EAL
116,local-authority-eng:EAS
117,local-authority-eng:EAT
118,local-authority-eng:ECA
119,local-authority-eng:EDE
120,local-authority-eng:EDN
121,local-authority-eng:EDO
122,local-authority-eng:EHA
123,local-authority-eng:EHE
124,local-authority-eng:ELI
125,local-authority-eng:ELM
126,local-authority-eng:ENF
127,local-authority-eng:ENO
128,local-authority-eng:EPP
129,local-authority-eng:EPS
130,local-authority-eng:ERE
131,local-authority-eng:ERY
132,local-authority-eng:ESK
133,local-authority-eng:ESS
134,local-authority-eng:EST
135,local-authority-eng:ESX
136,local-authority-eng:EXE
137,local-authority-eng:FAR
138,local-authority-eng:FEN
139,local-authority-eng:FOE
140,local-authority-eng:FOR
141,local-authority-eng:FYL
142,local-authority-eng:GAT
143,local-authority-eng:GED
144,local-authority-eng:GLA
145,local-authority-eng:GLO
146,local-authority-eng:GLS
147,local-authority-eng:GMCA
148,local-authority-eng:GOS
149,local-authority-eng:GRA
150,local-authority-eng:GRE
151,local-authority-eng:GRT
152,local-authority-eng:GRY
153,local-authority-eng:HAA
154,local-authority-eng:HAE
155,local-authority-eng:HAG
156,local-authority-eng:HAL
157,local-authority-eng:HAM
158,local-authority-eng:HAO
159,local-authority-eng:HAR
160,local-authority-eng:HAS
161,local-authority-eng:HAT
162,local-authority-eng:HAV
163,local-authority-eng:HCK
164,local-authority-eng:HEF
165,local-authority-eng:HER
166,local-authority-eng:HIG
167,local-authority-eng:HIL
168,local-authority-eng:HIN
169,local-authority-eng:HMF
170,local-authority-eng:HNS
171,local-authority-eng:HOR
172,local-authority-eng:HPL
173,local-authority-eng:HRT
174,local-authority-eng:HRW
175,local-authority-eng:HRY
176,local-authority-eng:HUN
177,local-authority-eng:HYN
178,local-authority-eng:IOS
179,local-authority-eng:IOW
180,local-authority-eng:IPS
181,local-authority-eng:ISL
182,local-authority-eng:KEC
183,local-authority-eng:KEN
184,local-authority-eng:KET
185,local-authority-eng:KHL
186,local-authority-eng:KIN
187,local-authority-eng:KIR
188,local-authority-eng:KTT
189,local-authority-eng:KWL
190,local-authority-eng:LAC
191,local-authority-eng:LAN
192,local-authority-eng:LBH
193,local-authority-eng:LCE
194,local-authority-eng:LCR
195,local-authority-eng:LDS
196,local-authority-eng:LEC
197,local-authority-eng:LEE
198,local-authority-eng:LEW
199,local-authority-eng:LIC
200,local-authority-eng:LIF
201,local-authority-eng:LIN
202,local-authority-eng:LIV
203,local-authority-eng:LND
204,local-authority-eng:LUT
205,local-authority-eng:MAI
206,local-authority-eng:MAL
207,local-authority-eng:MAN
208,local-authority-eng:MAS
209,local-authority-eng:MAV
210,local-authority-eng:MDB
211,local-authority-eng:MDE
212,local-authority-eng:MDW
213,local-authority-eng:MEL
214,local-authority-eng:MEN
215,local-authority-eng:MIK
216,local-authority-eng:MOL
217,local-authority-eng:MRT
218,local-authority-eng:MSS
219,local-authority-eng:MSU
220,local-authority-eng:NBL
221,local-authority-eng:NDE
222,local-authority-eng:NDO
223,local-authority-eng:NEA
224,local-authority-eng:NEC
225,local-authority-eng:NECA
226,local-authority-eng:NED
227,local-authority-eng:NEL
228,local-authority-eng:NET
229,local-authority-eng:NEW
230,local-authority-eng:NFK
231,local-authority-eng:NGM
232,local-authority-eng:NHE
233,local-authority-eng:NKE
234,local-authority-eng:NLN
235,local-authority-eng:NNO
236,local-authority-eng:NOR
237,local-authority-eng:NOW
238,local-authority-eng:NSM
239,local-authority-eng:NTCA
240,local-authority-eng:NTH
241,local-authority-eng:NTT
242,local-authority-eng:NTY
243,local-authority-eng:NUN
244,local-authority-eng:NWA
245,local-authority-eng:NWL
246,local-authority-eng:NWM
247,local-authority-eng:NYK
248,local-authority-eng:OAD
249,local-authority-eng:OLD
250,local-authority-eng:OXF
251,local-authority-eng:OXO
252,local-authority-eng:PEN
253,local-authority-eng:PLY
254,local-authority-eng:POL
255,local-authority-eng:POR
256,local-authority-eng:PRE
257,local-authority-eng:PTE
258,local-authority-eng:PUR
259,local-authority-eng:RCC
260,local-authority-eng:RCH
261,local-authority-eng:RDB
262,local-authority-eng:RDG
263,local-authority-eng:RED
264,local-authority-eng:REI
265,local-authority-eng:RIB
266,local-authority-eng:RIC
267,local-authority-eng:RIH
268,local-authority-eng:ROC
269,local-authority-eng:ROH
270,local-authority-eng:ROS
271,local-authority-eng:ROT
272,local-authority-eng:RUG
273,local-authority-eng:RUH
274,local-authority-eng:RUN
275,local-authority-eng:RUS
276,local-authority-eng:RUT
277,local-authority-eng:RYE
278,local-authority-eng:SAL
279,local-authority-eng:SAW
280,local-authority-eng:SBU
281,local-authority-eng:SCA
282,local-authority-eng:SCE
283,local-authority-eng:SCR
284,local-authority-eng:SDE
285,local-authority-eng:SED
286,local-authority-eng:SEG
287,local-authority-eng:SEL
288,local-authority-eng:SEV
289,local-authority-eng:SFK
290,local-authority-eng:SFT
291,local-authority-eng:SGC
292,local-authority-eng:SHA
293,local-authority-eng:SHE
294,local-authority-eng:SHF
295,local-authority-eng:SHN
296,local-authority-eng:SHO
297,local-authority-eng:SHR
298,local-authority-eng:SKE
299,local-authority-eng:SKP
300,local-authority-eng:SLA
301,local-authority-eng:SLF
302,local-authority-eng:SLG
303,local-authority-eng:SND
304,local-authority-eng:SNO
305,local-authority-eng:SNR
306,local-authority-eng:SOL
307,local-authority-eng:SOM
308,local-authority-eng:SOS
309,local-authority-eng:SOX
310,local-authority-eng:SPE
311,local-authority-eng:SRI
312,local-authority-eng:SRY
313,local-authority-eng:SSO
314,local-authority-eng:SST
315,local-authority-eng:STA
316,local-authority-eng:STE
317,local-authority-eng:STF
318,local-authority-eng:STH
319,local-authority-eng:STN
320,local-authority-eng:STO
321,local-authority-eng:STR
322,local-authority-eng:STS
323,local-authority-eng:STT
324,local-authority-eng:STV
325,local-authority-eng:STY
326,local-authority-eng:SUF
327,local-authority-eng:SUR
328,local-authority-eng:SWD
329,local-authority-eng:SWK
330,local-authority-eng:SWL
331,local-authority-eng:SWT
332,local-authority-eng:TAM
333,local-authority-eng:TAN
334,local-authority-eng:TAU
335,local-authority-eng:TAW
336,local-authority-eng:TEI
337,local-authority-eng:TEN
338,local-authority-eng:TES
339,local-authority-eng:TEW
340,local-authority-eng:TFW
341,local-authority-eng:THA
342,local-authority-eng:THE
343,local-authority-eng:THR
344,local-authority-eng:TOB
345,local-authority-eng:TON
346,local-authority-eng:TOR
347,local-authority-eng:TRF
348,local-authority-eng:TUN
349,local-authority-eng:TVCA
350,local-authority-eng:TWH
351,local-authority-eng:UTT
352,local-authority-eng:VAL
353,local-authority-eng:WAE
354,local-authority-eng:WAR
355,local-authority-eng:WAT
356,local-authority-eng:WAV
357,local-authority-eng:WAW
358,local-authority-eng:WBK
359,local-authority-eng:WDE
360,local-authority-eng:WDO
361,local-authority-eng:WEA
362,local-authority-eng:WECA
363,local-authority-eng:WEL
364,local-authority-eng:WEW
365,local-authority-eng:WEY
366,local-authority-eng:WFT
367,local-authority-eng:WGN
368,local-authority-eng:WIL
369,local-authority-eng:WIN
370,local-authority-eng:WKF
371,local-authority-eng:WLA
372,local-authority-eng:WLI
373,local-authority-eng:WLL
374,local-authority-eng:WLV
375,local-authority-eng:WMCA
376,local-authority-eng:WND
377,local-authority-eng:WNM
378,local-authority-eng:WOC
379,local-authority-eng:WOI
380,local-authority-eng:WOK
381,local-authority-eng:WOR
382,local-authority-eng:WOT
383,local-authority-eng:WOX
384,local-authority-eng:WRL
385,local-authority-eng:WRT
386,local-authority-eng:WSK
387,local-authority-eng:WSM
388,local-authority-eng:WSO
389,local-authority-eng:WSX
390,local-authority-eng:WYC
391,local-authority-eng:WYCA
392,local-authority-eng:WYE
393,local-authority-eng:WYO
394,local-authority-eng:WYR
395,local-authority-eng:YOR
396,national-park-authority:Q20198711
397,national-park-authority:Q27159704
398,national-park-authority:Q27178932
399,national-park-authority:Q4972284
400,national-park-authority:Q5225646
401,national-park-authority:Q72617158
402,national-park-authority:Q72617669
403,national-park-authority:Q72617784
404,national-park-authority:Q72617890
405,national-park-authority:Q72617988
406,public-authority:Q5533909
407,regional-park-authority:Q6515400
408,transport-authority:Q25171369
409,transport-authority:Q6820591
410,transport-authority:Q682520
411,transport-authority:Q7569004
412,transport-authority:Q7834921
413,transport-authority:Q7860508
414,transport-authority:Q7985947
415,transport-authority:Q7987043
416,waste-authority:Q20711950
417,waste-authority:Q20713477
418,waste-authority:Q21921612
419,waste-authority:Q21935501
420,waste-authority:Q5600652
501908,local-authority-eng:NNUA
501909,local-authority-eng:WNUA
501910,government-organisation:PB202
600001,government-organisation:D1342
600002,government-organisation:D7
